mode,sample,launches_per_event_interval,first,fe2o3_us,hipblaslt_us
synchronized_latency,0,1,fe2o3,6.48,11.32
synchronized_latency,1,1,hipblaslt,12.72,8.04
synchronized_latency,2,1,fe2o3,6.4,10.001
synchronized_latency,3,1,hipblaslt,7.68,7.76
synchronized_latency,4,1,fe2o3,6.56,7.76
synchronized_latency,5,1,hipblaslt,8.48,16.72
synchronized_latency,6,1,fe2o3,6.52,12.8
synchronized_latency,7,1,hipblaslt,6.56,14.44
synchronized_latency,8,1,fe2o3,6.76,17.04
synchronized_latency,9,1,hipblaslt,6.44,7.76
synchronized_latency,10,1,fe2o3,10.241,8.56
synchronized_latency,11,1,hipblaslt,8.6,9.32
synchronized_latency,12,1,fe2o3,6.4,7.84
synchronized_latency,13,1,hipblaslt,6.52,7.72
synchronized_latency,14,1,fe2o3,6.52,7.92
synchronized_latency,15,1,hipblaslt,6.48,7.84
synchronized_latency,16,1,fe2o3,6.52,7.88
synchronized_latency,17,1,hipblaslt,6.4,7.84
synchronized_latency,18,1,fe2o3,6.44,7.84
synchronized_latency,19,1,hipblaslt,6.52,7.72
synchronized_latency,20,1,fe2o3,6.56,7.84
synchronized_latency,21,1,hipblaslt,6.52,7.76
synchronized_latency,22,1,fe2o3,6.44,7.84
synchronized_latency,23,1,hipblaslt,8.56,10.56
synchronized_latency,24,1,fe2o3,6.4,7.88
synchronized_latency,25,1,hipblaslt,6.44,8.08
synchronized_latency,26,1,fe2o3,6.44,7.88
synchronized_latency,27,1,hipblaslt,6.48,7.88
synchronized_latency,28,1,fe2o3,6.52,7.92
synchronized_latency,29,1,hipblaslt,10.96,7.84
synchronized_latency,30,1,fe2o3,6.48,7.84
synchronized_latency,31,1,hipblaslt,6.44,7.96
synchronized_latency,32,1,fe2o3,6.56,8.16
synchronized_latency,33,1,hipblaslt,7.2,10.08
synchronized_latency,34,1,fe2o3,6.48,8.16
synchronized_latency,35,1,hipblaslt,6.52,7.96
synchronized_latency,36,1,fe2o3,6.56,8.08
synchronized_latency,37,1,hipblaslt,6.56,7.84
synchronized_latency,38,1,fe2o3,6.52,8.16
synchronized_latency,39,1,hipblaslt,6.44,8.72
synchronized_latency,40,1,fe2o3,6.44,8.28
synchronized_latency,41,1,hipblaslt,6.48,8
synchronized_latency,42,1,fe2o3,6.44,7.96
synchronized_latency,43,1,hipblaslt,6.52,7.921
synchronized_latency,44,1,fe2o3,6.48,8.04
synchronized_latency,45,1,hipblaslt,6.68,7.8
synchronized_latency,46,1,fe2o3,6.6,7.96
synchronized_latency,47,1,hipblaslt,6.52,7.92
synchronized_latency,48,1,fe2o3,6.4,7.84
synchronized_latency,49,1,hipblaslt,6.44,7.72
synchronized_latency,50,1,fe2o3,6.44,7.84
synchronized_latency,51,1,hipblaslt,6.52,7.8
synchronized_latency,52,1,fe2o3,6.56,7.76
synchronized_latency,53,1,hipblaslt,6.52,7.84
synchronized_latency,54,1,fe2o3,6.52,7.801
synchronized_latency,55,1,hipblaslt,6.4,7.84
synchronized_latency,56,1,fe2o3,6.4,7.84
synchronized_latency,57,1,hipblaslt,11.72,7.72
synchronized_latency,58,1,fe2o3,6.44,7.8
synchronized_latency,59,1,hipblaslt,6.52,7.56
synchronized_latency,60,1,fe2o3,6.52,8.4
synchronized_latency,61,1,hipblaslt,7.32,8.16
synchronized_latency,62,1,fe2o3,6.6,7.8
synchronized_latency,63,1,hipblaslt,6.52,7.68
synchronized_latency,64,1,fe2o3,6.56,8.08
synchronized_latency,65,1,hipblaslt,6.561,7.72
synchronized_latency,66,1,fe2o3,6.44,7.96
synchronized_latency,67,1,hipblaslt,6.56,7.84
synchronized_latency,68,1,fe2o3,6.56,7.92
synchronized_latency,69,1,hipblaslt,6.52,7.72
synchronized_latency,70,1,fe2o3,6.6,7.84
synchronized_latency,71,1,hipblaslt,6.48,7.92
synchronized_latency,72,1,fe2o3,6.6,7.92
synchronized_latency,73,1,hipblaslt,6.44,7.76
synchronized_latency,74,1,fe2o3,6.48,7.84
synchronized_latency,75,1,hipblaslt,6.64,7.8
synchronized_latency,76,1,fe2o3,6.52,7.84
synchronized_latency,77,1,hipblaslt,6.52,7.921
synchronized_latency,78,1,fe2o3,6.52,7.92
synchronized_latency,79,1,hipblaslt,6.4,7.92
synchronized_latency,80,1,fe2o3,6.44,8.24
synchronized_latency,81,1,hipblaslt,6.4,7.84
synchronized_latency,82,1,fe2o3,7.44,8.08
synchronized_latency,83,1,hipblaslt,6.6,8.2
synchronized_latency,84,1,fe2o3,6.88,8
synchronized_latency,85,1,hipblaslt,8.84,8
synchronized_latency,86,1,fe2o3,6.52,10.36
synchronized_latency,87,1,hipblaslt,6.4,7.96
synchronized_latency,88,1,fe2o3,6.401,7.84
synchronized_latency,89,1,hipblaslt,7.2,8.52
synchronized_latency,90,1,fe2o3,6.4,7.96
synchronized_latency,91,1,hipblaslt,6.52,7.84
synchronized_latency,92,1,fe2o3,6.52,8.2
synchronized_latency,93,1,hipblaslt,6.52,7.8
synchronized_latency,94,1,fe2o3,6.52,7.76
synchronized_latency,95,1,hipblaslt,6.4,7.88
synchronized_latency,96,1,fe2o3,6.48,7.96
synchronized_latency,97,1,hipblaslt,6.4,7.84
synchronized_latency,98,1,fe2o3,6.44,7.72
synchronized_latency,99,1,hipblaslt,6.521,7.88
synchronized_latency,100,1,fe2o3,6.52,7.84
synchronized_latency,101,1,hipblaslt,6.52,7.68
synchronized_latency,102,1,fe2o3,6.56,7.88
